url,taste,roast,origin
https://beanbox.com/117,Citrus,Medium,Panama
https://beanbox.com/117,Cookie,Medium,Panama
https://beanbox.com/118,Cherry,Light,Guatemalan
https://beanbox.com/118,Melon,Light,Guatemalan
https://beanbox.com/118,Papaya,Light,Guatemalan
https://beanbox.com/120,Black Tea,Light,Ethiopian
https://beanbox.com/120,Caramel,Light,Ethiopian
https://beanbox.com/120,Citrus,Light,Ethiopian
https://beanbox.com/121,Brown Sugar,Light,Costa Rican
https://beanbox.com/121,Currant,Light,Costa Rican
https://beanbox.com/121,Fig,Light,Costa Rican
https://beanbox.com/122,Butterscotch,Light,Costa Rican
https://beanbox.com/122,Chocolate,Light,Costa Rican
https://beanbox.com/122,Fruit,Light,Costa Rican
https://beanbox.com/123,Apple,Light,Kenyan
https://beanbox.com/123,Cinnamon,Light,Kenyan
https://beanbox.com/123,Fruit,Light,Kenyan
https://beanbox.com/124,Citrus,Light,Ethiopian
https://beanbox.com/124,Fruit,Light,Ethiopian
https://beanbox.com/124,Lavender,Light,Ethiopian
https://beanbox.com/125,Banana,Light,
https://beanbox.com/125,Citrus,Light,
https://beanbox.com/125,Floral,Light,
https://beanbox.com/126,Caramel,Light,Guatemalan
https://beanbox.com/126,Floral,Light,Guatemalan
https://beanbox.com/126,Lime,Light,Guatemalan
https://beanbox.com/127,Apple,Light,Costa Rican
https://beanbox.com/127,Caramel,Light,Costa Rican
https://beanbox.com/127,Fruit,Light,Costa Rican
https://beanbox.com/128,Blueberry,Light,Ethiopian
https://beanbox.com/128,Brown Sugar,Light,Ethiopian
https://beanbox.com/128,Fruit,Light,Ethiopian
https://beanbox.com/129,Caramel,Medium,
https://beanbox.com/129,Cherry,Medium,
https://beanbox.com/129,Chocolate,Medium,
https://beanbox.com/130,Brown Sugar,Dark,
https://beanbox.com/130,Dark Chocolate,Dark,
https://beanbox.com/130,Tobacco,Dark,
https://beanbox.com/131,Almond,Medium,
https://beanbox.com/131,Pear,Medium,
https://beanbox.com/132,Dark Chocolate,,
https://beanbox.com/132,Hazelnut,,
https://beanbox.com/133,Caramel,Light,
https://beanbox.com/133,Chocolate,Light,
https://beanbox.com/133,Honey,Light,
https://beanbox.com/134,Almond,Medium,Mexican
https://beanbox.com/134,Cinnamon,Medium,Mexican
https://beanbox.com/134,Dark Chocolate,Medium,Mexican
https://beanbox.com/135,Almond,Medium,
https://beanbox.com/135,Chocolate,Medium,
https://beanbox.com/135,Dried Fruit,Medium,
https://beanbox.com/136,Caramel,Medium,
https://beanbox.com/136,Chocolate,Medium,
https://beanbox.com/136,Citrus,Medium,
https://beanbox.com/137,Cherry,Dark,
https://beanbox.com/137,Dark Chocolate,Dark,
https://beanbox.com/137,Spice,Dark,
https://beanbox.com/138,Black Cherry,Dark,Kenyan
https://beanbox.com/138,Floral,Dark,Kenyan
https://beanbox.com/138,Herbal,Dark,Kenyan
https://beanbox.com/139,Citrus,Light,Costa Rican
https://beanbox.com/139,Lemon,Light,Costa Rican
https://beanbox.com/139,Orange,Light,Costa Rican
https://beanbox.com/140,Graham Cracker,Medium,
https://beanbox.com/140,Nutty,Medium,
